Date,Predicted_LSTM,Real,Predicted_Transformer,Predicted_ARIMA,Predicted_Null
2023-11-03,409.23196,450.049988,451.3631813745638,421.05573358176326,435.059998
2023-11-06,412.9237,457.51001,458.853343383316,419.63962711007514,450.049988
2023-11-07,418.84454,459.549988,460.9243147675158,421.1610454218596,457.51001
2023-11-08,425.5388,465.73999,467.1594180364424,423.12875158208675,459.549988
2023-11-09,439.05728,469.5,470.9567232436189,424.329661566704,465.73999
2023-11-10,450.23236,483.350006,484.83870170785,465.51394389796707,469.5
2023-11-13,459.8023,486.200012,487.7143949136807,465.772141604894,483.350006
2023-11-14,465.38623,496.559998,498.0964611903368,466.81387083125327,486.200012
2023-11-15,470.08316,488.880005,490.4465018805042,467.7070286760699,496.559998
2023-11-16,476.8707,494.799988,496.3888199684823,468.16732990819276,488.880005
2023-11-17,483.81845,492.980011,494.5947039930684,488.76211254131584,494.799988
2023-11-20,491.85593,504.089996,505.7146676865623,489.6597667072584,492.980011
2023-11-21,495.21124,499.440002,501.0800739268584,490.8878631458468,504.089996
2023-11-22,498.485,487.160004,488.7998418181771,491.9639618721659,499.440002
2023-11-24,497.55435,477.76001,479.4034825140087,491.93682878886045,487.160004
2023-11-27,500.78775,482.420013,484.05361737606046,487.18617966434505,477.76001
2023-11-28,501.1476,478.209991,479.838930994559,487.90173681914547,482.420013
2023-11-29,501.4729,481.399994,483.0051714253232,489.50103733921264,478.209991
2023-11-30,494.45163,467.700012,469.2846614398137,490.57515343525733,481.399994
2023-12-01,487.05804,467.649994,469.2182657377823,490.0865745009281,467.700012
2023-12-04,483.64798,455.100006,456.6628317995333,466.7391433970514,467.649994
2023-12-05,483.72107,465.660004,467.2020892196774,467.33713724203227,455.100006
2023-12-06,480.06378,455.029999,456.5609045932116,469.1661971608779,465.660004
2023-12-07,476.48102,465.959991,467.4661954345793,470.5913184735373,455.029999
2023-12-08,469.06055,475.059998,476.5622533126893,470.12922970125595,465.959991
2023-12-11,466.57306,466.269989,467.7717048778924,464.7344214003716,475.059998
2023-12-12,463.70352,476.570007,478.0837434437095,464.58336152353905,466.269989
2023-12-13,467.5495,480.880005,482.3984053438602,465.63182644481066,476.570007
2023-12-14,467.4945,483.5,485.0424396863537,466.7910045560686,480.880005
2023-12-15,474.2296,488.899994,490.4578664542027,467.4597558388212,483.5
2023-12-18,477.76953,500.769989,502.33540455675706,483.75099755234055,488.899994
2023-12-19,478.30844,496.040009,497.6347620271292,483.50862930414405,500.769989
2023-12-20,485.19553,481.109985,482.7220294373619,483.83606790891304,496.040009
2023-12-21,489.70038,489.899994,491.51738848729616,484.87612097306385,481.109985
2023-12-22,493.7642,488.299988,489.92611290578645,485.8978105120116,489.899994
2023-12-26,497.61285,492.790009,494.4191196919233,490.5890556299125,488.299988
2023-12-27,499.19272,494.170013,495.7882242372237,491.4284888673547,492.790009
2023-12-28,494.34488,495.220001,496.831232040058,491.8592396651511,494.170013
2023-12-29,490.83792,495.220001,496.8454530975324,491.3013275370946,495.220001
2024-01-02,495.02133,481.679993,483.3095378953407,491.32888628469254,495.220001
2024-01-03,496.0325,475.690002,477.318859516662,496.03389197110147,481.679993
2024-01-04,498.16037,479.980011,481.59838814472624,497.23755244947614,475.690002
2024-01-05,497.69577,490.970001,492.57720420734745,497.93877938687393,479.980011
2024-01-08,495.2483,522.530029,524.1294904164431,498.0043634782115,490.970001
2024-01-09,490.79178,531.400024,533.0073826451329,497.9911586057644,522.530029
2024-01-10,485.9127,543.5,545.139460919664,521.7869988752436,531.400024
2024-01-11,489.7203,548.219971,549.9131375603329,520.8525116376679,543.5
2024-01-12,501.67874,547.099976,548.8551473003278,520.3647293600643,548.219971
